resultID,raceID,driverID,constructorID,qualifyID,FinalPosition,RacePoints,FastestLap,TotalLaps
501,42,1,1,501,1,10,01:13.2,73
502,42,4,1,502,2,8,01:13.3,73
503,42,13,6,503,3,6,01:13.4,73
504,42,8,6,504,4,5,01:13.1,73
505,42,5,4,506,5,4,01:14.0,73
506,42,15,7,508,6,3,01:14.0,73
507,42,17,9,509,7,2,01:14.0,73
508,42,20,2,507,8,1,01:13.9,73
509,42,21,4,510,9,0,01:14.0,72
510,42,25,3,517,10,0,01:14.5,72
511,42,19,8,516,11,0,01:14.1,72
512,42,18,11,513,12,0,01:14.7,72
513,42,26,5,520,13,0,01:15.1,71
514,42,16,12,521,14,0,01:14.9,71
515,42,27,12,522,15,0,01:15.9,70
516,42,3,3,514,16,0,01:14.1,68
517,42,24,5,519,17,0,01:15.4,68
518,42,2,2,505,0,0,01:13.4,56
519,42,11,8,518,0,0,01:16.7,13
520,42,14,9,511,0,0,0,0
521,42,22,11,515,0,0,0,0
522,42,23,7,512,0,0,0,0
523,43,8,6,525,1,10,01:16.2,70
524,43,13,6,523,2,8,01:16.1,70
525,43,1,1,524,3,6,01:16.6,70
526,43,9,2,526,4,5,01:17.2,70
527,43,2,2,529,5,4,01:16.9,70
528,43,21,4,527,6,3,01:16.7,70
529,43,4,1,532,7,2,01:16.5,70
530,43,18,11,534,8,1,01:16.8,70
531,43,3,3,531,9,0,01:17.0,70
532,43,23,7,533,10,0,01:17.0,69
533,43,22,11,535,11,0,01:17.2,69
534,43,17,9,536,12,0,01:17.2,69
535,43,14,9,538,13,0,01:17.4,69
536,43,25,3,540,14,0,01:17.2,69
537,43,5,4,528,15,0,01:17.2,69
538,43,11,8,544,16,0,01:17.8,68
539,43,16,12,543,17,0,01:18.1,68
540,43,26,5,537,0,0,01:17.9,55
541,43,27,12,542,0,0,01:19.0,28
542,43,19,8,541,0,0,0,1
543,43,15,7,530,0,0,0,1
544,43,24,5,539,0,0,0,0
545,44,8,6,546,1,10,01:20.6,59
546,44,4,1,547,2,8,01:21.1,59
547,44,1,1,545,3,6,01:21.7,59
548,44,9,2,549,4,5,01:22.1,59
549,44,13,6,548,5,4,01:20.9,59
550,44,2,2,553,6,3,01:22.0,59
551,44,5,4,551,7,2,01:22.6,58
552,44,21,4,552,8,1,01:22.1,58
553,44,22,11,558,9,0,01:23.4,58
554,44,18,11,562,10,0,01:23.6,58
555,44,14,9,556,11,0,01:23.1,58
556,44,3,3,561,12,0,01:22.9,58
557,44,25,3,557,13,0,01:22.7,58
558,44,11,8,565,14,0,01:23.4,57
559,44,27,12,566,15,0,01:24.4,57
560,44,24,5,560,16,0,01:23.6,53
561,44,15,7,554,0,0,01:23.7,43
562,44,19,8,563,0,0,01:24.1,35
563,44,26,5,559,0,0,01:23.6,29
564,44,23,7,550,0,0,01:22.5,22
565,44,16,12,564,0,0,01:25.0,16
566,44,17,9,555,0,0,01:23.8,8
567,45,4,1,568,1,10,01:33.2,60
568,45,13,6,569,2,8,01:32.9,60
569,45,17,9,572,3,6,01:34.4,60
570,45,25,3,578,4,5,01:34.2,60
571,45,14,9,586,5,4,01:34.3,60
572,45,2,2,570,6,3,01:34.4,60
573,45,9,2,571,7,2,01:34.5,60
574,45,5,4,573,8,1,01:34.6,59
575,45,1,1,576,9,0,01:33.4,59
576,45,21,4,579,10,0,01:34.9,59
577,45,22,11,580,11,0,01:35.6,59
578,45,19,8,581,12,0,01:35.3,59
579,45,15,7,574,13,0,01:34.5,59
580,45,8,6,567,0,0,01:33.9,34
581,45,11,8,582,0,0,01:37.4,19
582,45,23,7,575,0,0,01:36.2,18
583,45,28,12,588,0,0,01:42.8,13
584,45,18,11,583,0,0,02:20.0,2
585,45,16,12,587,0,0,02:25.8,2
586,45,3,3,577,0,0,02:50.9,2
587,45,26,5,584,0,0,03:01.9,2
588,45,24,5,585,0,0,03:22.3,2
589,46,1,1,590,1,10,01:20.2,70
590,46,8,6,592,2,8,01:20.0,70
591,46,2,2,591,3,6,01:20.6,70
592,46,4,1,589,4,5,01:20.3,70
593,46,9,2,595,5,4,01:20.4,70
594,46,23,7,594,6,3,01:21.0,70
595,46,3,3,593,7,2,01:20.7,70
596,46,5,4,600,8,1,01:20.9,70
597,46,17,9,598,9,0,01:20.9,70
598,46,15,7,597,10,0,01:21.3,69
599,46,14,9,599,11,0,01:21.6,69
600,46,21,4,596,12,0,01:21.7,69
601,46,13,6,602,13,0,01:21.0,69
602,46,25,3,601,14,0,01:21.3,69
603,46,11,8,607,15,0,01:21.0,69
604,46,20,5,608,16,0,01:21.9,69
605,46,16,12,609,17,0,01:22.3,68
606,46,22,11,606,18,0,01:22.0,68
607,46,24,5,604,0,0,01:22.4,42
608,46,19,8,603,0,0,01:22.2,41
609,46,18,11,605,0,0,01:22.9,35
610,46,29,12,610,0,0,01:26.7,4
611,47,13,6,611,1,10,01:27.9,58
612,47,8,6,613,2,8,01:27.3,58
613,47,4,1,614,3,6,01:28.1,58
614,47,2,2,616,4,5,01:28.3,58
615,47,1,1,612,5,4,01:28.0,58
616,47,5,4,617,6,3,01:28.6,58
617,47,3,3,618,7,2,01:28.5,58
618,47,9,2,615,8,1,01:28.9,58
619,47,21,4,620,9,0,01:28.8,58
620,47,14,9,623,10,0,01:29.1,58
621,47,25,3,624,11,0,01:28.7,58
622,47,23,7,626,12,0,01:28.9,57
623,47,18,11,631,13,0,01:28.9,57
624,47,19,8,621,14,0,01:29.7,57
625,47,24,5,625,15,0,01:29.6,57
626,47,15,7,619,16,0,01:29.5,57
627,47,22,11,632,17,0,01:29.5,57
628,47,11,8,627,18,0,01:29.9,57
